m_eneg,a_eneg,x_eneg,m_radius,a_radius,x_radius,m_max_oxid,a_max_oxid,tolerance_factor,formation_energy_per_atom
1.55,1.81,3.04,1.4,1.3,0.65,7.0,3.0,0.6726,-0.44284
1.55,1.81,2.55,1.4,1.3,0.7,7.0,3.0,0.6734,-0.119668
1.55,2.01,3.04,1.4,1.25,0.65,7.0,4.0,0.6554,-0.283974
1.55,2.01,2.55,1.4,1.25,0.7,7.0,4.0,0.6566,-0.057281
1.55,2.01,2.55,1.4,1.25,0.7,7.0,4.0,0.6566,-0.083121
1.55,1.96,3.04,1.4,1.45,0.65,7.0,4.0,0.7244,-0.242732
1.55,1.61,2.55,1.4,1.25,0.7,7.0,3.0,0.6566,-0.191107
1.55,1.65,3.04,1.4,1.35,0.65,7.0,2.0,0.6899,-0.450575
1.55,1.65,2.55,1.4,1.35,0.7,7.0,2.0,0.6903,-0.004132
1.83,1.81,3.04,1.4,1.3,0.65,3.0,3.0,0.6726,-0.224492
1.83,1.61,2.55,1.4,1.25,0.7,3.0,3.0,0.6566,-0.159749
1.83,1.65,2.55,1.4,1.35,0.7,3.0,2.0,0.6903,0.012593
1.88,1.61,2.55,1.35,1.25,0.7,3.0,3.0,0.6726,-0.201228
1.88,1.78,3.04,1.35,1.55,0.65,3.0,3.0,0.7778,-0.024555
1.91,1.65,3.04,1.35,1.35,0.65,2.0,2.0,0.7071,-0.220545
1.91,1.65,2.55,1.35,1.35,0.7,2.0,2.0,0.7071,-0.058996
1.91,1.78,3.04,1.35,1.55,0.65,2.0,3.0,0.7778,-0.142051
1.91,1.9,3.04,1.35,1.35,0.65,2.0,2.0,0.7071,-0.027755
1.66,1.81,3.04,1.4,1.3,0.65,6.0,3.0,0.6726,-0.303799
1.66,2.01,3.04,1.4,1.25,0.65,6.0,4.0,0.6554,-0.280031
1.66,2.01,2.55,1.4,1.25,0.7,6.0,4.0,0.6566,-0.059273
