composition_id,formula,a_ion,b_ion,a_radius,b_radius,a_eneg,b_eneg,tolerance_factor,octahedral_factor,na_analogue,viable,t_deviation,b_radius_norm
Li3-O-OH-,Li3(O)(OH-),O2-,OH-,1.4,1.37,3.44,3.44,0.6973,1.0219,0,0,,
Li3-O-H-,Li3(O)(H-),O2-,H-,1.4,1.4,3.44,2.2,0.7071,1.0,0,0,,
Li3-O-CN-,Li3(O)(CN-),O2-,CN-,1.4,1.91,3.44,2.55,0.8741,0.733,1,1,0.0259,0.7235
Li3-O-BH4-,Li3(O)(BH4-),O2-,BH4-,1.4,2.03,3.44,2.04,0.9133,0.6897,0,1,0.0133,0.7689
Li3-O-OCN-,Li3(O)(OCN-),O2-,OCN-,1.4,2.16,3.44,3.44,0.9559,0.6481,0,1,0.0559,0.8182
Li3-O-NO2-,Li3(O)(NO2-),O2-,NO2-,1.4,2.162,3.44,3.04,0.9566,0.6475,1,1,0.0566,0.8189
Li3-O-BF4-,Li3(O)(BF4-),O2-,BF4-,1.4,2.28,3.44,3.98,0.9952,0.614,0,1,0.0952,0.8636
Li3-O-N3-,Li3(O)(N3-),O2-,N3-,1.4,2.31,3.44,3.04,1.005,0.6061,0,0,,
Li3-O-ClO4-,Li3(O)(ClO4-),O2-,ClO4-,1.4,2.36,3.44,3.16,1.0214,0.5932,0,0,,
Li3-O-AlH4-,Li3(O)(AlH4-),O2-,AlH4-,1.4,2.53,3.44,1.61,1.077,0.5534,0,0,,
Li3-O-SCN-,Li3(O)(SCN-),O2-,SCN-,1.4,2.56,3.44,2.58,1.0868,0.5469,0,0,,
Li3-O-NO3-,Li3(O)(NO3-),O2-,NO3-,1.4,2.64,3.44,3.04,1.113,0.5303,0,0,,
Li3-S-OH-,Li3(S)(OH-),S2-,OH-,1.84,1.37,2.58,3.44,0.5793,1.3431,0,0,,
Li3-S-H-,Li3(S)(H-),S2-,H-,1.84,1.4,2.58,2.2,0.5874,1.3143,0,0,,
Li3-S-CN-,Li3(S)(CN-),S2-,CN-,1.84,1.91,2.58,2.55,0.7261,0.9634,1,0,,
Li3-S-BH4-,Li3(S)(BH4-),S2-,BH4-,1.84,2.03,2.58,2.04,0.7588,0.9064,0,0,,
Li3-S-OCN-,Li3(S)(OCN-),S2-,OCN-,1.84,2.16,2.58,3.44,0.7941,0.8519,0,0,,
Li3-S-NO2-,Li3(S)(NO2-),S2-,NO2-,1.84,2.162,2.58,3.04,0.7947,0.8511,1,0,,
Li3-S-BF4-,Li3(S)(BF4-),S2-,BF4-,1.84,2.28,2.58,3.98,0.8268,0.807,0,1,0.0732,0.8636
Li3-S-N3-,Li3(S)(N3-),S2-,N3-,1.84,2.31,2.58,3.04,0.8349,0.7965,0,1,0.0651,0.875
Li3-S-ClO4-,Li3(S)(ClO4-),S2-,ClO4-,1.84,2.36,2.58,3.16,0.8485,0.7797,0,1,0.0515,0.8939
Li3-S-AlH4-,Li3(S)(AlH4-),S2-,AlH4-,1.84,2.53,2.58,1.61,0.8948,0.7273,0,1,0.0052,0.9583
Li3-S-SCN-,Li3(S)(SCN-),S2-,SCN-,1.84,2.56,2.58,2.58,0.9029,0.7188,0,1,0.0029,0.9697
Li3-S-NO3-,Li3(S)(NO3-),S2-,NO3-,1.84,2.64,2.58,3.04,0.9247,0.697,0,1,0.0247,1.0
Li3-Se-OH-,Li3(Se)(OH-),Se2-,OH-,1.98,1.37,2.55,3.44,0.5497,1.4453,0,0,,
Li3-Se-H-,Li3(Se)(H-),Se2-,H-,1.98,1.4,2.55,2.2,0.5574,1.4143,0,0,,
Li3-Se-CN-,Li3(Se)(CN-),Se2-,CN-,1.98,1.91,2.55,2.55,0.689,1.0366,1,0,,
Li3-Se-BH4-,Li3(Se)(BH4-),Se2-,BH4-,1.98,2.03,2.55,2.04,0.72,0.9754,0,0,,
Li3-Se-OCN-,Li3(Se)(OCN-),Se2-,OCN-,1.98,2.16,2.55,3.44,0.7536,0.9167,0,0,,
Li3-Se-NO2-,Li3(Se)(NO2-),Se2-,NO2-,1.98,2.162,2.55,3.04,0.7541,0.9158,1,0,,
Li3-Se-BF4-,Li3(Se)(BF4-),Se2-,BF4-,1.98,2.28,2.55,3.98,0.7845,0.8684,0,0,,
Li3-Se-N3-,Li3(Se)(N3-),Se2-,N3-,1.98,2.31,2.55,3.04,0.7923,0.8571,0,0,,
Li3-Se-ClO4-,Li3(Se)(ClO4-),Se2-,ClO4-,1.98,2.36,2.55,3.16,0.8052,0.839,0,1,0.0948,0.8939
Li3-Se-AlH4-,Li3(Se)(AlH4-),Se2-,AlH4-,1.98,2.53,2.55,1.61,0.849,0.7826,0,1,0.051,0.9583
Li3-Se-SCN-,Li3(Se)(SCN-),Se2-,SCN-,1.98,2.56,2.55,2.58,0.8568,0.7734,0,1,0.0432,0.9697
Li3-Se-NO3-,Li3(Se)(NO3-),Se2-,NO3-,1.98,2.64,2.55,3.04,0.8774,0.75,0,1,0.0226,1.0
Li3-Te-OH-,Li3(Te)(OH-),Te2-,OH-,2.21,1.37,2.1,3.44,0.5071,1.6131,0,0,,
Li3-Te-H-,Li3(Te)(H-),Te2-,H-,2.21,1.4,2.1,2.2,0.5143,1.5786,0,0,,
Li3-Te-CN-,Li3(Te)(CN-),Te2-,CN-,2.21,1.91,2.1,2.55,0.6357,1.1571,1,0,,
Li3-Te-BH4-,Li3(Te)(BH4-),Te2-,BH4-,2.21,2.03,2.1,2.04,0.6643,1.0887,0,0,,
Li3-Te-OCN-,Li3(Te)(OCN-),Te2-,OCN-,2.21,2.16,2.1,3.44,0.6952,1.0231,0,0,,
Li3-Te-NO2-,Li3(Te)(NO2-),Te2-,NO2-,2.21,2.162,2.1,3.04,0.6957,1.0222,1,0,,
Li3-Te-BF4-,Li3(Te)(BF4-),Te2-,BF4-,2.21,2.28,2.1,3.98,0.7238,0.9693,0,0,,
Li3-Te-N3-,Li3(Te)(N3-),Te2-,N3-,2.21,2.31,2.1,3.04,0.7309,0.9567,0,0,,
Li3-Te-ClO4-,Li3(Te)(ClO4-),Te2-,ClO4-,2.21,2.36,2.1,3.16,0.7428,0.9364,0,0,,
Li3-Te-AlH4-,Li3(Te)(AlH4-),Te2-,AlH4-,2.21,2.53,2.1,1.61,0.7833,0.8735,0,0,,
Li3-Te-SCN-,Li3(Te)(SCN-),Te2-,SCN-,2.21,2.56,2.1,2.58,0.7904,0.8633,0,0,,
Li3-Te-NO3-,Li3(Te)(NO3-),Te2-,NO3-,2.21,2.64,2.1,3.04,0.8095,0.8371,0,1,0.0905,1.0
