a_eneg,b_eneg,x_eneg,a_radius,b_radius,x_radius,a_max_oxid,b_max_oxid,tolerance_factor,octahedral_factor,formation_energy_per_atom,band_gap_dev
0.79,2.33,2.66,1.88,1.19,2.2,1.0,4.0,0.851,0.5409,-1.238177,0.3385
0.79,2.33,2.66,1.88,1.19,2.2,1.0,4.0,0.851,0.5409,-1.247403,0.5021
0.79,2.33,2.66,1.88,1.19,2.2,1.0,4.0,0.851,0.5409,-1.263227,1.3781
0.79,2.33,2.96,1.88,1.19,1.96,1.0,4.0,0.862,0.6071,-1.626886,0.9278
0.79,2.33,2.96,1.88,1.19,1.96,1.0,4.0,0.862,0.6071,-1.625293,1.065
0.79,2.33,2.96,1.88,1.19,1.96,1.0,4.0,0.862,0.6071,-1.629785,1.1221
0.79,2.33,2.96,1.88,1.19,1.96,1.0,4.0,0.862,0.6071,-1.63437,1.9908
0.79,2.33,2.96,1.88,1.19,1.96,1.0,4.0,0.862,0.6071,-1.609297,0.8919
0.79,2.33,3.16,1.88,1.19,1.81,1.0,4.0,0.8697,0.6575,-1.886794,1.8965
0.79,2.33,3.16,1.88,1.19,1.81,1.0,4.0,0.8697,0.6575,-1.87398,1.3478
0.79,2.33,3.16,1.88,1.19,1.81,1.0,4.0,0.8697,0.6575,-1.873151,1.4705
0.79,2.33,3.16,1.88,1.19,1.81,1.0,4.0,0.8697,0.6575,-1.886758,1.573
0.79,1.96,2.66,1.88,1.18,2.2,1.0,4.0,0.8535,0.5364,-1.178287,1.4732
0.79,1.96,2.66,1.88,1.18,2.2,1.0,4.0,0.8535,0.5364,-1.170477,0.0275
0.79,1.96,2.66,1.88,1.18,2.2,1.0,4.0,0.8535,0.5364,-1.181536,0.14
0.79,1.96,2.66,1.88,1.18,2.2,1.0,4.0,0.8535,0.5364,-1.169692,0.0363
0.79,1.96,2.96,1.88,1.18,1.96,1.0,4.0,0.8647,0.602,-1.572084,0.7782
0.79,1.96,2.96,1.88,1.18,1.96,1.0,4.0,0.8647,0.602,-1.560889,0.4084
0.79,1.96,3.16,1.88,1.18,1.81,1.0,4.0,0.8727,0.6519,-1.554896,0.6387
0.79,1.96,3.16,1.88,1.18,1.81,1.0,4.0,0.8727,0.6519,-1.577583,2.5754
0.79,2.01,2.66,1.88,0.73,2.2,1.0,4.0,0.9846,0.3318,-1.069609,0.3005
0.79,2.01,2.66,1.88,0.73,2.2,1.0,4.0,0.9846,0.3318,-1.060969,0.5001
0.79,2.01,2.96,1.88,0.73,1.96,1.0,4.0,1.0094,0.3724,-1.446722,0.9956
0.79,2.01,2.96,1.88,0.73,1.96,1.0,4.0,1.0094,0.3724,-1.429877,0.9707
0.79,2.01,2.96,1.88,0.73,1.96,1.0,4.0,1.0094,0.3724,-1.446098,1.6534
0.79,2.01,3.16,1.88,0.73,1.81,1.0,4.0,1.0273,0.4033,-1.710206,2.4135
0.82,2.33,2.66,1.72,1.19,2.2,1.0,4.0,0.8177,0.5409,-1.235947,1.3118
0.82,2.33,2.96,1.72,1.19,1.96,1.0,4.0,0.8261,0.6071,-1.573023,0.8608
0.82,2.33,2.96,1.72,1.19,1.96,1.0,4.0,0.8261,0.6071,-1.612417,1.9311
0.82,2.33,3.16,1.72,1.19,1.81,1.0,4.0,0.832,0.6575,-1.828406,1.3563
0.82,2.33,3.16,1.72,1.19,1.81,1.0,4.0,0.832,0.6575,-1.866759,2.423
0.82,2.33,3.16,1.72,1.19,1.81,1.0,4.0,0.832,0.6575,-1.828626,1.3548
0.82,1.96,2.66,1.72,1.18,2.2,1.0,4.0,0.8201,0.5364,-1.152262,1.4177
0.82,1.96,2.96,1.72,1.18,1.96,1.0,4.0,0.8287,0.602,-1.47898,0.411
0.82,1.96,2.96,1.72,1.18,1.96,1.0,4.0,0.8287,0.602,-1.523624,2.3518
0.82,1.96,3.16,1.72,1.18,1.81,1.0,4.0,0.8348,0.6519,-1.531116,3.2024
0.82,1.96,3.16,1.72,1.18,1.81,1.0,4.0,0.8348,0.6519,-1.760047,0.6461
0.82,1.96,3.16,1.72,1.18,1.81,1.0,4.0,0.8348,0.6519,-1.782786,1.9864
0.82,2.01,2.66,1.72,0.73,2.2,1.0,4.0,0.946,0.3318,-1.030275,1.5087
0.82,2.01,2.66,1.72,0.73,2.2,1.0,4.0,0.946,0.3318,-1.02195,0.136
0.82,2.01,2.96,1.72,0.73,1.96,1.0,4.0,0.9673,0.3724,-1.4183,3.3338
0.82,2.01,2.96,1.72,0.73,1.96,1.0,4.0,0.9673,0.3724,-1.416827,2.1951
0.82,2.01,3.16,1.72,0.73,1.81,1.0,4.0,0.9827,0.4033,-1.672444,2.8304
0.82,2.01,3.16,1.72,0.73,1.81,1.0,4.0,0.9827,0.4033,-1.69138,4.0129
0.82,2.33,2.66,1.64,1.19,2.2,1.0,4.0,0.801,0.5409,-1.206838,1.2715
0.82,1.96,2.66,1.64,1.18,2.2,1.0,4.0,0.8033,0.5364,-1.124101,1.3481
0.82,1.96,2.96,1.64,1.18,1.96,1.0,4.0,0.8107,0.602,-1.49901,2.0779
0.82,2.01,2.96,1.64,0.73,1.96,1.0,4.0,0.9463,0.3724,-1.361961,1.1183
0.82,2.01,2.96,1.64,0.73,1.96,1.0,4.0,0.9463,0.3724,-1.387192,3.1126
0.82,2.01,3.16,1.64,0.73,1.81,1.0,4.0,0.9604,0.4033,-1.627454,1.7459
0.82,2.01,3.16,1.64,0.73,1.81,1.0,4.0,0.9604,0.4033,-1.655677,3.1524
